date,time,turn,room,format,winner,reason,corp,runner
20210204,23,19,casual,standard,corp,Flatline,Weyland Consortium: Builder of Nations,Hoshiko Shiro: Untold Protagonist
20210204,13,13,casual,standard,corp,Flatline,Weyland Consortium: Builder of Nations,Hayley Kaplan: Universal Scholar
20210204,5,5,casual,standard,corp,Flatline,Jinteki: Personal Evolution,419: Amoral Scammer
20210204,70,19,casual,standard,runner,Agenda,Blue Sun: Powering the Future,Reina Roja: Freedom Fighter
20210204,5,5,casual,standard,corp,Concede,Jinteki: Replicating Perfection,Sunny Lebeau: Security Specialist
20210204,60,34,casual,standard,corp,Agenda,Tennin Institute: The Secrets Within,Adam: Compulsive Hacker
20210204,82,14,casual,standard,corp,Agenda,Jinteki: Replicating Perfection,Hoshiko Shiro: Untold Protagonist
20210204,6,8,casual,standard,corp,Concede,Blue Sun: Powering the Future,Valencia Estevez: The Angel of Cayambe
20210204,35,16,casual,standard,runner,Agenda,Haas-Bioroid: Architects of Tomorrow,"Ele ""Smoke"" Scovak: Cynosure of the Net"
20210204,23,10,casual,standard,corp,Concede,Tennin Institute: The Secrets Within,"Ele ""Smoke"" Scovak: Cynosure of the Net"
20210204,41,24,casual,casual,corp,Agenda,NBN: Making News,Gabriel Santiago: Consummate Professional
20210204,8,10,casual,standard,corp,Concede,Jinteki: Replicating Perfection,"Ele ""Smoke"" Scovak: Cynosure of the Net"
20210204,9,12,casual,standard,corp,Agenda,Asa Group: Security Through Vigilance,Alice Merchant: Clan Agitator
20210204,3,4,casual,standard,corp,Flatline,Jinteki Biotech: Life Imagined,"Ele ""Smoke"" Scovak: Cynosure of the Net"
20210204,14,9,casual,standard,runner,Agenda,Harmony Medtech: Biomedical Pioneer,Jesminder Sareen: Girl Behind the Curtain
20210204,4,7,casual,standard,corp,Concede,Acme Consulting: The Truth You Need,Freedom Khumalo: Crypto-Anarchist
20210204,34,19,casual,standard,runner,Concede,MirrorMorph: Endless Iteration,Hoshiko Shiro: Untold Protagonist
20210204,11,9,casual,standard,runner,Agenda,Harishchandra Ent.: Where You're the Star,Omar Keung: Conspiracy Theorist
20210204,16,15,casual,standard,corp,Agenda,Jinteki: Personal Evolution,Hayley Kaplan: Universal Scholar
20210204,6,12,casual,standard,corp,Agenda,Acme Consulting: The Truth You Need,Alice Merchant: Clan Agitator
20210204,11,10,casual,standard,corp,Flatline,Weyland Consortium: Builder of Nations,419: Amoral Scammer
20210204,7,9,casual,standard,corp,Concede,Pālanā Foods: Sustainable Growth,Freedom Khumalo: Crypto-Anarchist
20210204,13,10,casual,standard,corp,Concede,Weyland Consortium: Building a Better World,Adam: Compulsive Hacker
20210204,15,11,casual,standard,runner,Agenda,NBN: Controlling the Message,Quetzal: Free Spirit
20210204,48,20,casual,standard,corp,Agenda,AgInfusion: New Miracles for a New World,Hayley Kaplan: Universal Scholar
20210204,12,14,casual,standard,corp,Flatline,New Angeles Sol: Your News,"Nathaniel ""Gnat"" Hall: One-of-a-Kind"
20210204,10,12,casual,standard,corp,Flatline,Jinteki: Personal Evolution,419: Amoral Scammer
20210204,40,16,casual,standard,runner,Agenda,Jinteki: Replicating Perfection,Kabonesa Wu: Netspace Thrillseeker
20210204,4,2,casual,standard,corp,Flatline,"SYNC: Everything, Everywhere",Hayley Kaplan: Universal Scholar
20210204,0,0,casual,standard,,,"SYNC: Everything, Everywhere",
20210204,13,13,casual,standard,corp,Flatline,MirrorMorph: Endless Iteration,Hayley Kaplan: Universal Scholar
20210204,52,16,casual,standard,corp,Agenda,SSO Industries: Fueling Innovation,Freedom Khumalo: Crypto-Anarchist
20210204,88,15,casual,casual,runner,Agenda,Jinteki: Personal Evolution,Andromeda: Dispossessed Ristie
20210204,0,0,casual,standard,runner,Decked,,Freedom Khumalo: Crypto-Anarchist
20210204,5,5,casual,standard,runner,Agenda,SSO Industries: Fueling Innovation,Hayley Kaplan: Universal Scholar
20210204,64,15,casual,eternal,corp,Agenda,Haas-Bioroid: Engineering the Future,Edward Kim: Humanity's Hammer
