date,count
20180101,25
20180102,42
20180103,35
20180104,38
20180105,26
20180106,35
20180107,52
20180108,34
20180109,40
20180110,39
20180111,27
20180112,31
20180113,27
20180114,34
20180115,51
20180116,49
20180117,59
20180118,44
20180119,40
20180120,52
20180121,37
20180122,39
20180123,48
20180124,33
20180125,33
20180126,22
20180127,26
20180128,49
20180129,52
20180130,42
20180131,33
20180201,35
20180202,38
20180203,37
20180204,53
20180205,59
20180206,34
20180207,42
20180208,39
20180209,44
20180210,31
20180211,47
20180212,36
20180213,34
20180214,42
20180215,26
20180216,26
20180217,72
20180218,58
20180219,68
20180220,39
20180221,49
20180222,48
20180223,45
20180224,38
20180225,45
20180226,98
20180227,98
20180228,66
20180301,63
20180302,49
20180303,47
20180304,61
20180305,55
20180306,70
20180307,52
20180308,33
20180309,48
20180310,57
20180311,66
20180312,48
20180313,42
20180314,56
20180315,51
20180316,42
20180317,41
20180318,53
20180319,53
20180320,50
20180321,36
20180322,36
20180323,37
20180324,49
20180325,36
20180326,51
20180327,35
20180328,33
20180329,33
20180330,51
20180331,40
20180401,30
20180402,38
20180403,37
20180404,46
20180405,40
20180406,33
20180407,28
20180408,44
20180409,31
20180410,30
20180411,44
20180412,27
20180413,26
20180414,51
20180415,32
20180416,37
20180417,35
20180418,49
20180419,32
20180420,24
20180421,28
20180422,37
20180423,28
20180424,44
20180425,32
20180426,36
20180427,39
20180428,30
20180429,33
20180430,27
20180501,47
20180502,36
20180503,38
20180504,31
20180505,33
20180506,35
20180507,37
20180508,48
20180509,37
20180510,40
20180511,44
20180512,36
20180513,35
20180514,33
20180515,38
20180516,34
20180517,43
20180518,40
20180519,34
20180520,40
20180521,32
20180522,25
20180523,55
20180524,27
20180525,38
20180526,37
20180527,45
20180528,35
20180529,30
20180530,36
20180531,34
20180601,34
20180602,34
20180603,44
20180604,43
20180605,22
20180606,45
20180607,43
20180608,50
20180609,42
20180610,59
20180611,38
20180612,45
20180613,47
20180614,42
20180615,40
20180616,52
20180617,62
20180618,49
20180619,62
20180620,54
20180621,35
20180622,36
20180623,58
20180624,40
20180625,37
20180626,25
20180627,37
20180628,30
20180629,33
20180630,27
20180701,49
20180702,37
20180703,37
20180704,34
20180705,32
20180706,40
20180707,44
20180708,33
20180709,29
20180710,38
20180711,36
20180712,31
20180713,31
20180714,36
20180715,24
